methods_section,panel,n_genes,genes
4.1.11,4.1.11_G1S_module,12,CCND1;CCND2;CCNE1;E2F1;E2F2;E2F3;CDK2;CDC6;MCM2;MCM3;MCM5;MCM6
4.1.11,4.1.11_checkpoint_module,11,ATR;CHEK1;WEE1;CLSPN;CDC25C;RAD17;HUS1;RFC4;GADD45A;GADD45B;RRM2B
4.1.11,4.1.11_exhaustion_exclusion_list,17,PDCD1;HAVCR2;CTLA4;TIGIT;LAG3;TOX;LAYN;ENTPD1;CXCL13;NR4A1;NR4A2;NR4A3;EOMES;BATF;CD244;CD160;LGALS3
4.1.11,4.1.11_exhaustion_module,10,PDCD1;HAVCR2;LAG3;TIGIT;TOX;ENTPD1;CXCL13;NR4A1;NR4A2;NR4A3
4.1.11,4.1.11_inflammatory_module,12,NFKB1;RELA;TNFAIP3;NFKBIA;STAT3;IL6ST;SOCS3;IRF1;IFITM1;CXCL10;CCL5;BIRC3
4.1.11,4.1.11_metabolic_module,11,MYC;NPM1;SLC2A1;HK2;LDHA;NDUFA1;COX5A;ATP5F1B;HADHA;ACADM;CPT1A
4.1.11,4.1.11_mitotic_module,10,CDK1;CCNB1;CCNB2;FOXM1;PLK1;AURKA;AURKB;BUB1;BUB1B;CDC20
4.1.12,4.1.12_IFN_STAT1_axis,6,CXCL9;CXCL10;STAT1;IRF1;IFITM1;ISG15
4.1.12,4.1.12_NFkB_axis,5,NFKBIA;TNFAIP3;BIRC3;RELA;NFKB1
4.1.12,4.1.12_Tcell_signature,7,CD3D;CD3E;CD3G;TRAC;CD2;CD8A;CD8B
4.1.12,4.1.12_cytokine_JAK_STAT3_axis,5,SOCS3;SOCS1;IL6ST;JAK1;STAT3
4.1.12,4.1.12_proliferation,10,MKI67;PCNA;MCM2;MCM5;TOP2A;BIRC5;UBE2C;AURKB;CDC20;CCNB1
4.1.7,4.1.7_exhaustion,9,PDCD1;LAYN;HAVCR2;CTLA4;TOX;TIGIT;LAG3;CXCL13;ENTPD1
4.1.7,4.1.7_proliferation,9,MKI67;TOP2A;PCNA;HMGB2;CDC20;UBE2C;BIRC5;AURKB;CCNB1
4.1.8,4.1.8_marker_verification_GSE232240,7,TRAC;CD3D;CD8A;CD8B;NKG7;MS4A1;LYZ
4.1.9,4.1.9_NFkB,9,NFKB1;RELA;TNFAIP3;BIRC3;IKBKB;NFKBIA;REL;TRAF1;TRAF6
4.1.9,4.1.9_TCF7_memory,8,TCF7;CCR7;LEF1;IL7R;BCL2;SELL;CXCR3;KLF2
4.1.9,4.1.9_TCR_signalling,10,CD3D;CD3E;CD3G;TRAC;LCK;ZAP70;LAT;PTPRC;VAV1;ITK
4.1.9,4.1.9_TRM,9,ITGAE;CXCR6;CD69;ZNF683;RUNX3;CXCR3;CXCR4;ITGA1;ITGAL
4.1.9,4.1.9_apoptosis_death_response,12,BCL2;BCL2L1;BAX;BCL2A1;CASP3;FAS;FASLG;BID;BAD;BAK1;BBC3;PMAIP1
4.1.9,4.1.9_checkpoint_receptors,8,PDCD1;HAVCR2;LAG3;TIGIT;ENTPD1;LAYN;CTLA4;LGALS9
4.1.9,4.1.9_costimulation,7,CD28;ICOS;CD27;TNFRSF9;CD40LG;TNFRSF4;TNFRSF18
4.1.9,4.1.9_cycling,9,MKI67;TOP2A;PCNA;HMGB2;CDC20;UBE2C;BIRC5;AURKB;CCNB1
4.1.9,4.1.9_cytotoxicity,10,GZMB;GNLY;PRF1;NKG7;FGFBP2;GZMH;GZMA;KLRD1;KLRK1;SPON2
4.1.9,4.1.9_exhaustion,12,PDCD1;HAVCR2;LAG3;TIGIT;CTLA4;TOX;LAYN;ENTPD1;CXCL13;EOMES;NR4A1;NR4A2
4.1.9,4.1.9_glycolysis,10,HK2;GAPDH;ALDOA;ENO1;LDHA;SLC2A3;PFKP;PGK1;PKM;TPI1
4.1.9,4.1.9_mtor_myc,11,MTOR;AKT1;EIF4EBP1;RPS6KB1;TSC2;RPTOR;RHEB;RPS6;EIF4E;MYC;NPM1
4.1.9,4.1.9_oxphos,11,ATP5F1A;ATP5F1B;COX5A;COX5B;COX7A2;UQCRC1;UQCRQ;NDUFA8;NDUFA9;NDUFB8;SDHB
4.1.9,4.1.9_p53_checkpoint_stress,13,TP53;CDKN1A;GADD45A;GADD45B;DDIT3;BBC3;PMAIP1;BAX;RRM2B;CHEK1;WEE1;CLSPN;RAD17
4.1.9,4.1.9_type_I_IFN_ISG,10,IFIT1;IFIT3;ISG15;MX1;OAS1;IFI6;IFI27;IFIT2;IRF7;RSAD2
